SGD.id	SYMBOL	SYSTEMATIC.name	ABUNDANCE.value	ABUNDANCE.units
S000004287	Ylr296Wp	YLR296W	""	""
S000004288	Ylr297Wp	YLR297W	1251.0	molecules/cell
S000004289	Yhc1p	YLR298C	1777.0	molecules/cell
S000004290	Ecm38p	YLR299W	1841.0	molecules/cell
S000004291	Exg1p	YLR300W	6165.0	molecules/cell
S000004292	Hri1p	YLR301W	14256.0	molecules/cell
S000004293	Ylr302Cp	YLR302C	""	""
S000004294	Met17p	YLR303W	38332.0	molecules/cell
S000004295	Aco1p	YLR304C	43808.0	molecules/cell
S000004296	Stt4p	YLR305C	1920.0	molecules/cell
S000004297	Ubc12p	YLR306W	1679.0	molecules/cell
S000004298	Cda1p	YLR307W	1245.0	molecules/cell
S000004299	Cda2p	YLR308W	""	molecules/cell
S000004300	Imh1p	YLR309C	3491.0	molecules/cell
S000004301	Cdc25p	YLR310C	2145.0	molecules/cell
S000004302	Ylr311Cp	YLR311C	""	""
S000004303	Atg39p	YLR312C	1159.0	molecules/cell
S000004304	Mrpl15p	YLR312W-A	4427.0	molecules/cell
S000004305	Sph1p	YLR313C	672.0	molecules/cell
S000004306	Cdc3p	YLR314C	13150.0	molecules/cell
S000004307	Nkp2p	YLR315W	2208.0	molecules/cell
S000004308	Tad3p	YLR316C	1205.0	molecules/cell
S000004309	Ylr317Wp	YLR317W	""	""
S000004310	Est2p	YLR318W	1154.0	molecules/cell
S000004311	Bud6p	YLR319C	2208.0	molecules/cell
S000004312	Mms22p	YLR320W	406.0	molecules/cell
S000004313	Sfh1p	YLR321C	4079.0	molecules/cell
S000004314	Vps65p	YLR322W	""	""
S000004315	Cwc24p	YLR323C	1131.0	molecules/cell
S000004316	Pex30p	YLR324W	3505.0	molecules/cell
S000004317	Rpl38p	YLR325C	32579.0	molecules/cell
S000004318	Ylr326Wp	YLR326W	1849.0	molecules/cell
S000004319	Tma10p	YLR327C	4867.0	molecules/cell
S000004320	Nma1p	YLR328W	3656.0	molecules/cell
S000004321	Rec102p	YLR329W	""	""
S000004322	Chs5p	YLR330W	7563.0	molecules/cell
S000004323	Jip3p	YLR331C	""	""
S000004324	Mid2p	YLR332W	2769.0	molecules/cell
S000004325	Rps25Bp	YLR333C	51486.0	molecules/cell
S000004326	Ylr334Cp	YLR334C	""	""
S000004327	Nup2p	YLR335W	6974.0	molecules/cell
S000004328	Sgd1p	YLR336C	3014.0	molecules/cell
S000004329	Vrp1p	YLR337C	3203.0	molecules/cell
S000004330	Opi9p	YLR338W	""	""
S000004331	Ylr339Cp	YLR339C	""	""
S000004332	Rpp0p	YLR340W	52758.0	molecules/cell
S000004333	Spo77p	YLR341W	1283.0	molecules/cell
S000004334	Fks1p	YLR342W	8942.0	molecules/cell
S000004335	Gas2p	YLR343W	""	""
S000004336	Rpl26Ap	YLR344W	66974.0	molecules/cell
S000004337	Ylr345Wp	YLR345W	2538.0	molecules/cell
S000004338	Cis1p	YLR346C	2806.0	molecules/cell
S000004339	Kap95p	YLR347C	15792.0	molecules/cell
S000004340	Dic1p	YLR348C	2896.0	molecules/cell
S000004341	Ylr349Wp	YLR349W	""	""
S000004342	Orm2p	YLR350W	3593.0	molecules/cell
S000004343	Nit3p	YLR351C	4510.0	molecules/cell
S000004344	Lug1p	YLR352W	322.0	molecules/cell
S000004345	Bud8p	YLR353W	477.0	molecules/cell
S000004346	Tal1p	YLR354C	44083.0	molecules/cell
S000004347	Ilv5p	YLR355C	99907.0	molecules/cell
S000004348	Atg33p	YLR356W	2259.0	molecules/cell
S000004349	Rsc2p	YLR357W	3616.0	molecules/cell
S000004350	Ylr358Cp	YLR358C	1470.0	molecules/cell
S000004351	Ade13p	YLR359W	32589.0	molecules/cell
S000004352	Vps38p	YLR360W	749.0	molecules/cell
S000004353	Dcr2p	YLR361C	1672.0	molecules/cell
S000004354	Ste11p	YLR362W	1533.0	molecules/cell
S000004355	Nmd4p	YLR363C	3829.0	molecules/cell
S000004356	Grx8p	YLR364W	4240.0	molecules/cell
S000004357	Ylr365Wp	YLR365W	""	""
S000004358	Ylr366Wp	YLR366W	""	""
S000004359	Rps22Bp	YLR367W	34606.0	molecules/cell
S000004360	Mdm30p	YLR368W	271.0	molecules/cell
S000004361	Ssq1p	YLR369W	3335.0	molecules/cell
S000004362	Arc18p	YLR370C	11539.0	molecules/cell
S000004363	Rom2p	YLR371W	871.0	molecules/cell
S000004364	Elo3p	YLR372W	11219.0	molecules/cell
S000004365	Vid22p	YLR373C	2065.0	molecules/cell
S000004366	Ylr374Cp	YLR374C	""	""
S000004367	Stp3p	YLR375W	1838.0	molecules/cell
S000004368	Psy3p	YLR376C	1258.0	molecules/cell
S000004369	Fbp1p	YLR377C	971.0	molecules/cell
S000004370	Sec61p	YLR378C	17267.0	molecules/cell
S000004371	Ylr379Wp	YLR379W	""	""
S000004372	Csr1p	YLR380W	5957.0	molecules/cell
S000004373	Ctf3p	YLR381W	319.0	molecules/cell
S000004374	Nam2p	YLR382C	1561.0	molecules/cell
S000004375	Smc6p	YLR383W	669.0	molecules/cell
S000004376	Iki3p	YLR384C	7200.0	molecules/cell
S000004377	Swc7p	YLR385C	1684.0	molecules/cell
S000004378	Vac14p	YLR386W	2539.0	molecules/cell
S000004379	Reh1p	YLR387C	3973.0	molecules/cell
S000004380	Rps29Ap	YLR388W	11265.0	molecules/cell
S000004381	Ste23p	YLR389C	8034.0	molecules/cell
S000004382	Ecm19p	YLR390W	1798.0	molecules/cell
S000004384	Art10p	YLR392C	540.0	molecules/cell
S000004385	Atp10p	YLR393W	1890.0	molecules/cell
S000004386	Cst9p	YLR394W	""	""
S000004387	Cox8p	YLR395C	3613.0	molecules/cell
S000004388	Vps33p	YLR396C	2169.0	molecules/cell
S000004389	Afg2p	YLR397C	3171.0	molecules/cell
S000004390	Ski2p	YLR398C	4408.0	molecules/cell
S000004391	Bdf1p	YLR399C	6880.0	molecules/cell
S000004392	Ylr400Wp	YLR400W	""	""
S000004393	Dus3p	YLR401C	3630.0	molecules/cell
S000004394	Ylr402Wp	YLR402W	""	""
S000004395	Sfp1p	YLR403W	2241.0	molecules/cell
S000004396	Sei1p	YLR404W	846.0	molecules/cell
S000004397	Dus4p	YLR405W	2149.0	molecules/cell
S000004398	Rpl31Bp	YLR406C	24603.0	molecules/cell
S000004399	Gag1p	YLR407W	2984.0	molecules/cell
S000004400	Bls1p	YLR408C	468.0	molecules/cell
S000004401	Utp21p	YLR409C	3719.0	molecules/cell
