up:P38143	sce:YBR244W
up:P38144	sce:YBR245C
up:P38332	sce:YBR246W
up:P38333	sce:YBR247C
up:P33734	sce:YBR248C
up:P32449	sce:YBR249C
up:P33757	sce:YBR250W
up:P33759	sce:YBR251W
up:P33317	sce:YBR252W
up:P32570	sce:YBR253W
up:P38334	sce:YBR254C
up:Q3E776	sce:YBR255C-A
up:P38335	sce:YBR255W
up:P38145	sce:YBR256C
up:P38336	sce:YBR257W
up:P38337	sce:YBR258C
up:P38338	sce:YBR259W
up:P38339	sce:YBR260C
up:P38340	sce:YBR261C
up:P38341	sce:YBR262C
up:P37292	sce:YBR263W
up:P38146	sce:YBR264C
up:P38342	sce:YBR265W
up:P38344	sce:YBR267W
up:P36532	sce:YBR268W
up:P38345	sce:YBR269C
up:P38346	sce:YBR270C
up:P38347	sce:YBR271W
up:P38348	sce:YBR272C
up:P38349	sce:YBR273C
up:P38147	sce:YBR274W
up:P29539	sce:YBR275C
up:P38148	sce:YBR276C
up:P27344	sce:YBR278W
up:P38351	sce:YBR279W
up:P38352	sce:YBR280C
up:P38149	sce:YBR281C
up:P36526	sce:YBR282W
up:P38353	sce:YBR283C
up:P38150	sce:YBR284W
up:P38354	sce:YBR285W
up:P37302	sce:YBR286W
up:P38355	sce:YBR287W
up:P38153	sce:YBR288C
up:P18480	sce:YBR289W
up:P38356	sce:YBR290W
up:P38152	sce:YBR291C
up:P38358	sce:YBR293W
up:P38359	sce:YBR294W
up:P38360	sce:YBR295W
up:P38361	sce:YBR296C
up:Q8TGU5	sce:YBR296C-A
up:P38157	sce:YBR297W
up:P38156	sce:YBR298C
up:Q8TGK4	sce:YBR298C-A
up:P38158	sce:YBR299W
up:P38155	sce:YBR301W
up:P0CX12	sce:YBR302C
up:P0CX13	sce:YBR302C
up:P25560	sce:YCL001W
up:P87012	sce:YCL001W-A
up:Q96VH2	sce:YCL001W-B
up:P25565	sce:YCL002C
up:P25578	sce:YCL004W
up:P25587	sce:YCL005W
up:Q3E7B6	sce:YCL005W-A
up:P25604	sce:YCL008C
up:P25605	sce:YCL009C
up:P25554	sce:YCL010C
up:P25555	sce:YCL011C
up:Q8J0M4	sce:YCL012C
up:P25558	sce:YCL014W
up:P25559	sce:YCL016C
up:P25374	sce:YCL017C
up:P04173	sce:YCL018W
up:P25384	sce:YCL019W
up:P25383	sce:YCL020W
up:Q96VH3	sce:YCL021W-A
up:P25389	sce:YCL024W
up:P25376	sce:YCL025C
up:P37261	sce:YCL026C-A
up:Q96VH4	sce:YCL026C-B
up:P11710	sce:YCL027W
up:P25367	sce:YCL028W
up:P11709	sce:YCL029C
up:P00815	sce:YCL030C
up:P25368	sce:YCL031C
up:P25344	sce:YCL032W
up:P25566	sce:YCL033C
up:P25369	sce:YCL034W
up:P25373	sce:YCL035C
up:P25370	sce:YCL036W
up:P25567	sce:YCL037C
up:P25568	sce:YCL038C
up:P25569	sce:YCL039W
up:P17709	sce:YCL040W
up:P25572	sce:YCL042W
up:P17967	sce:YCL043C
up:P25573	sce:YCL044C
up:P25574	sce:YCL045C
up:P25576	sce:YCL047C
up:P25380	sce:YCL048W
up:Q2V2Q2	sce:YCL048W-A
up:P25577	sce:YCL049C
up:P16550	sce:YCL050C
up:P25579	sce:YCL051W
up:P25580	sce:YCL052C
up:P25582	sce:YCL054W
up:A0A0B7P221	sce:YCL054W-A
up:P25583	sce:YCL055W
up:P25584	sce:YCL056C
up:Q96VH5	sce:YCL057C-A
up:P25375	sce:YCL057W
up:P25585	sce:YCL058C
up:Q2V2Q1	sce:YCL058W-A
up:P25586	sce:YCL059C
up:P25588	sce:YCL061C
up:P25591	sce:YCL063W
up:P25379	sce:YCL064C
up:P0CY07	sce:YCL066W
up:P0CY06	sce:YCL066W
up:P0CY09	sce:YCL067C
up:P0CY08	sce:YCL067C
up:P25593	sce:YCL068C
up:P25594	sce:YCL069W
up:P25596	sce:YCL073C
up:P25342	sce:YCR002C
up:P25348	sce:YCR003W
up:P25349	sce:YCR004C
up:P08679	sce:YCR005C
up:P25354	sce:YCR007C
up:P25333	sce:YCR008W
up:P25343	sce:YCR009C
up:P25613	sce:YCR010C
up:P25371	sce:YCR011C
up:P00560	sce:YCR012W
up:P25615	sce:YCR014C
up:P25616	sce:YCR015C
up:P25617	sce:YCR016W
up:P25618	sce:YCR017C
up:P09007	sce:YCR018C
up:P23060	sce:YCR019W
up:P25362	sce:YCR020C
up:P23059	sce:YCR020C-A
up:Q9URQ5	sce:YCR020W-B
up:P25619	sce:YCR021C
up:P25351	sce:YCR023C
up:P25345	sce:YCR024C
up:P32903	sce:YCR024C-A
up:Q3E7Z8	sce:YCR024C-B
up:P25353	sce:YCR026C
up:P25378	sce:YCR027C
up:P25621	sce:YCR028C
up:P32445	sce:YCR028C-A
up:P25623	sce:YCR030C
up:P06367	sce:YCR031C
up:P25356	sce:YCR032W
up:P25357	sce:YCR033W
up:P25358	sce:YCR034W
up:P25359	sce:YCR035C
up:P25332	sce:YCR036W
up:P25360	sce:YCR037C
up:P25300	sce:YCR038C
up:P0CY09	sce:YCR039C
up:P0CY08	sce:YCR039C
up:P0CY07	sce:YCR040W
up:P0CY06	sce:YCR040W
up:P37265	sce:YCR041W
up:P23255	sce:YCR042C
up:P25361	sce:YCR043C
up:P25625	sce:YCR044C
up:P25381	sce:YCR045C
up:P25626	sce:YCR046C
up:P25627	sce:YCR047C
up:P25628	sce:YCR048W
up:P25630	sce:YCR050C
up:P25631	sce:YCR051W
up:P25632	sce:YCR052W
up:P16120	sce:YCR053W
up:P25355	sce:YCR054C
up:P25635	sce:YCR057C
up:P25637	sce:YCR059C
up:P25638	sce:YCR060W
up:P25639	sce:YCR061W
up:P25337	sce:YCR063W
up:P25364	sce:YCR065W
up:P10862	sce:YCR066W
up:P25365	sce:YCR067C
up:P25641	sce:YCR068W
up:P25334	sce:YCR069W
up:P25642	sce:YCR071C
up:P25382	sce:YCR072C
up:P25390	sce:YCR073C
up:P37262	sce:YCR073W-A
up:P17261	sce:YCR075C
up:Q3E830	sce:YCR075W-A
