PATHWAY.name	SYSTEMATIC.name
Aminoacyl-tRNA biosynthesis	YNCH0006C
Aminoacyl-tRNA biosynthesis	YNCJ0005C
Aminoacyl-tRNA biosynthesis	YNCA0004W
Aminoacyl-tRNA biosynthesis	YNCG0036W
Aminoacyl-tRNA biosynthesis	YNCL0004C
Aminoacyl-tRNA biosynthesis	YNCO0029C
Aminoacyl-tRNA biosynthesis	YNCE0016C
Aminoacyl-tRNA biosynthesis	tA_UGC_Q
Aminoacyl-tRNA biosynthesis	YNCB0015W
Aminoacyl-tRNA biosynthesis	YNCJ0011W
Aminoacyl-tRNA biosynthesis	YNCG0017W
Aminoacyl-tRNA biosynthesis	YNCE0010W
Aminoacyl-tRNA biosynthesis	YNCM0033C
Aminoacyl-tRNA biosynthesis	YNCG0032W
Aminoacyl-tRNA biosynthesis	YNCJ0014C
Aminoacyl-tRNA biosynthesis	YNCD0011W
Aminoacyl-tRNA biosynthesis	YNCK0006C
Aminoacyl-tRNA biosynthesis	YNCG0038C
Aminoacyl-tRNA biosynthesis	YNCM0004C
Aminoacyl-tRNA biosynthesis	YNCD0013C
Aminoacyl-tRNA biosynthesis	YNCE0028C
Aminoacyl-tRNA biosynthesis	YNCO0012C
Aminoacyl-tRNA biosynthesis	YNCL0007W
Aminoacyl-tRNA biosynthesis	YNCK0017W
Aminoacyl-tRNA biosynthesis	YNCJ0008W
Aminoacyl-tRNA biosynthesis	YNCL0045W
Aminoacyl-tRNA biosynthesis	YNCJ0025W
Aminoacyl-tRNA biosynthesis	tR_UCU_Q1
Aminoacyl-tRNA biosynthesis	tR_ACG_Q2
Aminoacyl-tRNA biosynthesis	YNCC0005W
Aminoacyl-tRNA biosynthesis	YNCF0004C
Aminoacyl-tRNA biosynthesis	YNCL0050C
Aminoacyl-tRNA biosynthesis	YNCP0019W
Aminoacyl-tRNA biosynthesis	YNCN0017W
Aminoacyl-tRNA biosynthesis	YNCG0031W
Aminoacyl-tRNA biosynthesis	YNCO0018W
Aminoacyl-tRNA biosynthesis	YNCO0005W
Aminoacyl-tRNA biosynthesis	YNCK0003W
Aminoacyl-tRNA biosynthesis	YNCN0003W
Aminoacyl-tRNA biosynthesis	tN_GUU_Q
Aminoacyl-tRNA biosynthesis	YNCB0016W
Aminoacyl-tRNA biosynthesis	YNCG0023C
Aminoacyl-tRNA biosynthesis	YNCI0010C
Aminoacyl-tRNA biosynthesis	YNCJ0013C
Aminoacyl-tRNA biosynthesis	YNCL0040W
Aminoacyl-tRNA biosynthesis	YNCJ0012W
Aminoacyl-tRNA biosynthesis	YNCM0024W
Aminoacyl-tRNA biosynthesis	YNCG0021W
Aminoacyl-tRNA biosynthesis	YNCI0008C
Aminoacyl-tRNA biosynthesis	YNCO0019W
Aminoacyl-tRNA biosynthesis	YNCJ0026W
Aminoacyl-tRNA biosynthesis	YNCD0012W
Aminoacyl-tRNA biosynthesis	YNCL0008W
Aminoacyl-tRNA biosynthesis	YNCJ0006W
Aminoacyl-tRNA biosynthesis	YNCK0018C
Aminoacyl-tRNA biosynthesis	YNCN0008C
Aminoacyl-tRNA biosynthesis	tD_GUC_Q
Aminoacyl-tRNA biosynthesis	YNCG0030C
Aminoacyl-tRNA biosynthesis	YNCP0007C
Aminoacyl-tRNA biosynthesis	YNCB0017C
Aminoacyl-tRNA biosynthesis	YNCP0018C
Aminoacyl-tRNA biosynthesis	tC_GCA_Q
Aminoacyl-tRNA biosynthesis	YNCC0010C
Aminoacyl-tRNA biosynthesis	YNCL0009C
Aminoacyl-tRNA biosynthesis	YNCD0014C
Aminoacyl-tRNA biosynthesis	YNCD0009W
Aminoacyl-tRNA biosynthesis	YNCD0016C
Aminoacyl-tRNA biosynthesis	YNCE0014W
Aminoacyl-tRNA biosynthesis	YNCH0005W
Aminoacyl-tRNA biosynthesis	YNCB0013W
Aminoacyl-tRNA biosynthesis	YNCE0008C
Aminoacyl-tRNA biosynthesis	YNCM0036C
Aminoacyl-tRNA biosynthesis	tQ_UUG_Q
Aminoacyl-tRNA biosynthesis	YNCG0016C
Aminoacyl-tRNA biosynthesis	YNCG0022W
Aminoacyl-tRNA biosynthesis	YNCJ0002C
Aminoacyl-tRNA biosynthesis	YNCG0012W
Aminoacyl-tRNA biosynthesis	YNCE0012W
Aminoacyl-tRNA biosynthesis	YNCP0004C
Aminoacyl-tRNA biosynthesis	YNCE0018W
